id,input_title,recommended_id,recommended_title,genres,similarity_score,reason
ts300399,Five Came Back: The Reference Films,ts55645,Five Came Back,war documentation history,0.1604,similar genres: documentation
ts300399,Five Came Back: The Reference Films,ts98353,DreamWorks Spooky Stories,animation,0.1579,similar description and thematic content
ts300399,Five Came Back: The Reference Films,ts98340,Metallica: Some Kind of Monster,western,0.1517,similar description and thematic content
ts300399,Five Came Back: The Reference Films,ts105441,Greatest Events of WWII in Colour,documentation history war,0.1507,similar genres: documentation
ts300399,Five Came Back: The Reference Films,tm184224,Sinbad: Afros and Bellbottoms,comedy documentation,0.1325,similar genres: documentation
tm84618,Taxi Driver,tm844497,The Irishman: In Conversation,documentation,0.2468,"shares cast members: De, Joe, Martin, Niro, Robert, Scorsese"
tm84618,Taxi Driver,ts270405,Pretend It's a City,comedy documentation,0.1911,"shares cast members: Martin, Scorsese"
tm84618,Taxi Driver,tm186461,No Direction Home: Bob Dylan,documentation music,0.1739,"shares cast members: Bob, Martin, Scorsese; same director (Martin Scorsese)"
tm84618,Taxi Driver,tm155787,GoodFellas,drama crime,0.1399,"similar genres: crime, drama; shares cast members: Bob, Catherine, Charles, De, Frank, Joe, Keitel, Niro, Norman, Peter, Richard, Robert, Scorsese, Shepherd, Victor; same director (Martin Scorsese)"
tm84618,Taxi Driver,tm244149,The Irishman,crime drama history thriller,0.1074,"similar genres: crime, drama; shares cast members: Bill, Charles, Cunningham, De, Frank, Gino, Harvey, Joe, Keitel, Martin, Nicholas, Niro, Peter, Richard, Robert, Steven; same director (Martin Scorsese)"
tm154986,Deliverance,tm844662,Ronny Chieng: Asian Comedian Destroys America!,comedy,0.0767,shares cast members: Ronny
tm154986,Deliverance,tm119281,Bonnie and Clyde,crime drama action,0.0739,"similar genres: action, drama; shares cast members: Beatty, Ken, Pollard"
tm154986,Deliverance,ts274575,How to Be A Cowboy,reality,0.0642,similar description and thematic content
tm154986,Deliverance,tm1187638,Ronny Chieng: Speakeasy,comedy documentation,0.0624,shares cast members: Ronny
tm154986,Deliverance,tm452237,The Car: Road to Revenge,action horror thriller scifi,0.0596,"similar genres: action, thriller; shares cast members: Burt, Cox, Ronny"
tm127384,Monty Python and the Holy Grail,tm360904,The Meaning of Monty Python,documentation,0.3466,"shares cast members: Cleese, Eric, Gilliam, Idle, John, Jones, Michael, Palin, Terry"
tm127384,Monty Python and the Holy Grail,tm148597,Monty Python: Live (Mostly),documentation comedy music,0.3172,"similar genres: comedy; shares cast members: Brian, Carol, Cleese, Cleveland, Eric, Gilliam, Idle, John, Jones, Michael, Mike, Palin, Terry"
tm127384,Monty Python and the Holy Grail,tm62924,Monty Python Live at the Hollywood Bowl,comedy documentation,0.3032,"similar genres: comedy; shares cast members: Carol, Chapman, Cleese, Cleveland, Eric, Gilliam, Graham, Idle, Innes, John, Jones, Michael, Neil, Palin, Terry"
tm127384,Monty Python and the Holy Grail,ts29199,Monty Python's Personal Best,comedy animation,0.2962,"similar genres: comedy; shares cast members: Chapman, Cleese, Eric, Gilliam, Graham, Idle, John, Jones, Michael, Palin, Terry"
tm127384,Monty Python and the Holy Grail,ts23808,Monty Python: Almost the Truth (The Lawyer's Cut),comedy documentation,0.289,"similar genres: comedy; shares cast members: Carol, Chapman, Cleese, Cleveland, Eric, Gilliam, Graham, Idle, John, Jones, Michael, Palin, Terry"
tm120801,The Dirty Dozen,tm112381,Comedian,comedy documentation,0.0987,"shares cast members: Britt, Colin, Gary, George, Jim, John, Michael, Mike, Miller, Richard, Robert, Terry, Tom, Wallace"
tm120801,The Dirty Dozen,tm187791,In the Line of Fire,drama thriller crime action,0.0927,"similar genres: action; shares cast members: Alan, Anthony, Clint, G., Gary, Jim, John, Lee, Michael, Miller, Robert, Ryan"
tm120801,The Dirty Dozen,tm122434,Forrest Gump,drama romance,0.0916,"shares cast members: Al, Ann, Brown, Charles, Dick, Gary, George, Jim, John, Michael, Mike, Richard, Terry, Tom, Wallace"
tm120801,The Dirty Dozen,ts55645,Five Came Back,war documentation history,0.0885,similar genres: war
tm120801,The Dirty Dozen,tm57169,Monty Python: Live at Aspen,comedy documentation,0.0879,"shares cast members: George, John, Michael, Robert, Terry"
ts22164,Monty Python's Flying Circus,tm360904,The Meaning of Monty Python,documentation,0.4148,"shares cast members: Eric, Gilliam, Idle, Jones, Michael, Palin, Terry"
